OrderID,OrderDate,CustomerName,Item,Category,Quantity,UnitPrice,TotalPrice,PaymentMethod,City,Rating
1041,2025-03-12,Rahul Reddy,Burger,Food,2.0,180.0,360.0,Cash,Bengaluru,2.0
1052,2025-01-15,Priya Bhat,Cheesecake,dessert,3.0,170.0,510.0,UPI,Chennai,3.0
1140,2025-04-04,,Chocolate Cake,dessert,1.0,180.0,180.0,Cash,Mumbai,5.0
1198,2025-03-31,,Cheesecake,Dessert,1.0,170.0,170.0,UPI,Pune,5.0
1171,2025-06-14,Anjali Reddy,Ice Cream,Dessert,2.0,130.0,260.0,Card,Pune,5.0
1083,2025-01-01,Amit Bhat,Hot Chocolate,beverage,1.0,160.0,160.0,Cash,Kolkata,3.0
1184,2025-02-03,,Bagel,BAKERY,1.0,100.0,100.0,UPI,Mumbai,1.0
1047,2025-02-11,Karan Pillai,Croissant,bakery,,120.0,,Card,Delhi,2.0
1071,2025-06-10,Amit Iyer,Hot Chocolate,Beverages,2.0,160.0,320.0,Wallet,Pune,1.0
1101,2025-06-15,Pooja Gupta,Bagel,Bakery,1.0,100.0,100.0,Card,Pune,1.0
1180,2025-01-29,Arjun Nair,Muffin,BAKERY,1.0,90.0,90.0,Card,Chennai,1.0
1084,2025-07-09,Ishaan Gupta,Latte,beverage,1.0,140.0,140.0,Card,Delhi,1.0
1026,2025-06-28,Rahul Patel,Cheesecake,Dessert,2.0,170.0,340.0,UPI,Delhi,1.0
1191,2025-06-29,Vivek Patel,Salad,food,2.0,160.0,320.0,Card,Hyderabad,2.0
1160,2025-02-15,Arjun Patel,Cheesecake,dessert,1.0,170.0,170.0,Cash,Mumbai,2.0
1174,2025-02-01,Karan Mehta,Cappuccino,Beverages,1.0,130.0,130.0,Card,Delhi,1.0
1096,2025-02-02,Arjun Das,Latte,Beverages,2.0,140.0,280.0,UPI,Pune,3.0
1004,2025-01-12,Rohan Iyer,Bagel,BAKERY,2.0,100.0,200.0,Wallet,Chennai,2.0
1042,2025-04-24,Ananya Gupta,Croissant,BAKERY,2.0,120.0,240.0,Cash,Kolkata,1.0
1059,2025-06-26,Karan Malhotra,Pasta,food,2.0,220.0,440.0,Wallet,Pune,3.0
1015,2025-05-21,Rohan Bhat,Iced Tea,beverage,1.0,120.0,120.0,Card,Mumbai,4.0
1144,2025-01-23,Amit Verma,Bagel,bakery,1.0,100.0,100.0,,Pune,4.0
